id,name,lat,long,dock_count,city,installation_date,lead_lat,lead_long,consecutiveStationDistance
2,"San Jose Diridon Caltrain Station",37.329732,-121.90178200000001,27,"San Jose","2013-08-06 00:00:00",37.330698,-121.888979,0.00017847881130444583
3,"San Jose Civic Center",37.330698,-121.888979,15,"San Jose","2013-08-05 00:00:00",37.333988,-121.894902,0.00010026772911804018
4,"Santa Clara at Almaden",37.333988,-121.894902,11,"San Jose","2013-08-06 00:00:00",37.331415,-121.8932,0.000050740081812649475
5,"Adobe on Almaden",37.331415,-121.8932,19,"San Jose","2013-08-05 00:00:00",37.336721000000004,-121.894074,0.00009339805110226917
6,"San Pedro Square",37.336721000000004,-121.894074,15,"San Jose","2013-08-07 00:00:00",37.333798,-121.88694299999999,0.00011133402167923283
7,"Paseo de San Antonio",37.333798,-121.88694299999999,15,"San Jose","2013-08-07 00:00:00",37.330165,-121.88583100000001,0.00006525870274853827
8,"San Salvador at 1st",37.330165,-121.88583100000001,15,"San Jose","2013-08-05 00:00:00",37.348742,-121.89471499999999,0.0003468750527466767
9,Japantown,37.348742,-121.89471499999999,15,"San Jose","2013-08-05 00:00:00",37.337391,-121.886995,0.00022521819800875196
10,"San Jose City Hall",37.337391,-121.886995,15,"San Jose","2013-08-06 00:00:00",37.335885,-121.88566000000002,0.00003215714087476411
11,"MLK Library",37.335885,-121.88566000000002,19,"San Jose","2013-08-06 00:00:00",37.332808,-121.88389099999999,0.000059048674871221537
12,"SJSU 4th at San Carlos",37.332808,-121.88389099999999,19,"San Jose","2013-08-07 00:00:00",37.339301,-121.88993700000002,0.00014100220149727307
13,"St James Park",37.339301,-121.88993700000002,15,"San Jose","2013-08-06 00:00:00",37.332692,-121.900084,0.00018202399531240104
14,"Arena Green / SAP Center",37.332692,-121.900084,19,"San Jose","2013-08-05 00:00:00",37.333954999999996,-121.877349,0.0003162735787303814
16,"SJSU - San Salvador at 9th",37.333954999999996,-121.877349,15,"San Jose","2013-08-07 00:00:00",37.481758,-122.226904,0.005489940799639722
21,"Franklin at Maple",37.481758,-122.226904,15,"Redwood City","2013-08-12 00:00:00",37.486078000000006,-122.23208899999999,0.00010412300666055762
22,"Redwood City Caltrain Station",37.486078000000006,-122.23208899999999,25,"Redwood City","2013-08-15 00:00:00",37.487615999999996,-122.229951,0.00003996581994042624
23,"San Mateo County Center",37.487615999999996,-122.229951,15,"Redwood City","2013-08-15 00:00:00",37.484219,-122.227424,0.00006884735115817804
24,"Redwood City Public Library",37.484219,-122.227424,15,"Redwood City","2013-08-12 00:00:00",37.48537,-122.20328799999999,0.00033487335049642075
25,"Stanford in Redwood City",37.48537,-122.20328799999999,15,"Redwood City","2013-08-12 00:00:00",37.487682,-122.223492,0.00028270242061885015
26,"Redwood City Medical Center",37.487682,-122.223492,15,"Redwood City","2013-08-12 00:00:00",37.389218,-122.081896,0.0026083913235290467
27,"Mountain View City Hall",37.389218,-122.081896,15,"Mountain View","2013-08-16 00:00:00",37.394358000000004,-122.07671299999998,0.00011494913666943238
28,"Mountain View Caltrain Station",37.394358000000004,-122.07671299999998,23,"Mountain View","2013-08-15 00:00:00",37.406940000000006,-122.10675800000001,0.00047091144102151154
29,"San Antonio Caltrain Station",37.406940000000006,-122.10675800000001,23,"Mountain View","2013-08-15 00:00:00",37.390277000000005,-122.066553,0.0006287598551879528
30,"Evelyn Park and Ride",37.390277000000005,-122.066553,15,"Mountain View","2013-08-16 00:00:00",37.400443,-122.10833799999999,0.0006059501741908533
31,"San Antonio Shopping Center",37.400443,-122.10833799999999,15,"Mountain View","2013-12-31 00:00:00",37.385956,-122.083678,0.0004252738452214628
32,"Castro Street and El Camino Real",37.385956,-122.083678,11,"Mountain View","2013-12-31 00:00:00",37.400240999999994,-122.099076,0.0003282519847759116
33,"Rengstorff Avenue / California Street",37.400240999999994,-122.099076,15,"Mountain View","2013-08-16 00:00:00",37.443988,-122.164759,0.0011882214327487057
34,"Palo Alto Caltrain Station",37.443988,-122.164759,23,"Palo Alto","2013-08-14 00:00:00",37.444521,-122.16309299999999,0.000024889511735416756
35,"University and Emerson",37.444521,-122.16309299999999,11,"Palo Alto","2013-08-15 00:00:00",37.429082,-122.14280500000001,0.00038943452048668335
36,"California Ave Caltrain Station",37.429082,-122.14280500000001,15,"Palo Alto","2013-08-14 00:00:00",37.448598,-122.159504,0.00041179292953816786
37,"Cowper at University",37.448598,-122.159504,11,"Palo Alto","2013-08-14 00:00:00",37.425683899999996,-122.13777749999998,0.0005005971309886543
38,"Park at Olive",37.425683899999996,-122.13777749999998,15,"Palo Alto","2013-08-14 00:00:00",37.783871000000005,-122.408433,0.007286098654710656
39,"Powell Street BART",37.783871000000005,-122.408433,19,"San Francisco","2013-08-25 00:00:00",37.795001,-122.39997,0.0002266286704100185
41,"Clay at Battery",37.795001,-122.39997,15,"San Francisco","2013-08-19 00:00:00",37.79728,-122.398436,0.0000450524059499716
42,"Davis at Jackson",37.79728,-122.398436,15,"San Francisco","2013-08-19 00:00:00",37.794230999999996,-122.402923,0.00008161702937326471
45,"Commercial at Montgomery",37.794230999999996,-122.402923,15,"San Francisco","2013-08-19 00:00:00",37.795425,-122.40476699999999,0.0000328795058776397
