age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,purchased,id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome
39,156,5,999,0,1.4,94.465,-41.8,4.865,5228.1,0,224,4,1,1,1,0,0,1,4,1,1
25,103,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,1024,0,2,3,0,2,0,0,3,2,1
50,121,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,836,9,1,5,0,0,0,1,6,0,1
45,187,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,349,1,1,0,1,2,2,0,1,1,1
46,124,4,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,3900,7,1,3,0,0,0,0,0,1,1
49,582,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,789,4,1,3,0,0,0,0,7,4,1
35,91,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,2468,1,1,2,1,0,0,1,6,4,1
27,64,2,999,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,0,4117,8,2,3,0,0,0,0,6,1,0
29,20,1,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1125,9,2,2,0,0,0,0,6,2,1
30,245,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2526,1,1,2,0,2,0,0,3,1,1
31,20,12,999,0,1.1,93.994,-36.4,4.856,5191.0,0,2947,10,2,5,0,0,0,1,6,3,1
59,135,2,999,0,1.4,94.465,-41.8,4.947,5228.1,0,2765,9,0,0,0,2,0,1,4,0,1
46,89,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,3755,1,1,0,1,0,2,1,4,2,1
27,134,1,3,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1099,0,2,6,0,0,0,0,6,3,2
31,172,5,999,0,1.4,93.444,-36.1,4.966,5228.1,0,3911,3,1,0,0,0,0,0,1,0,1
29,48,7,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,1148,0,1,3,0,0,0,0,3,2,1
31,257,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,770,9,1,5,0,0,0,1,6,4,1
